	NCBI	EggNOG
-	0.0	3.289473684210526
A	0.11235955056179775	0.0
A T	0.11235955056179775	0.0
B	0.11235955056179775	0.0
C	3.033707865168539	3.289473684210526
C H R	0.11235955056179775	0.0
C I R	0.11235955056179775	0.0
C P	0.11235955056179775	0.0
C R	0.11235955056179775	0.0
CH	0.0	0.16447368421052633
CO	0.0	0.08223684210526316
CP	0.0	0.08223684210526316
D	2.134831460674157	2.6315789473684212
D I	0.11235955056179775	0.0
D M	0.11235955056179775	0.0
D M P	0.11235955056179775	0.0
D N	0.11235955056179775	0.0
D P	0.11235955056179775	0.0
D Z	0.2247191011235955	0.0
E	5.955056179775281	6.907894736842105
E F	0.33707865168539325	0.0
E H	0.2247191011235955	0.0
E P	0.449438202247191	0.0
E R	0.2247191011235955	0.0
EG	0.0	0.4934210526315789
EGP	0.0	0.9868421052631579
EH	0.0	0.24671052631578946
EJ	0.0	0.08223684210526316
EK	0.0	0.08223684210526316
EP	0.0	0.08223684210526316
ET	0.0	0.16447368421052633
F	5.617977528089888	7.319078947368421
F H	0.11235955056179775	0.0
F R	0.11235955056179775	0.0
FG	0.0	0.08223684210526316
FP	0.0	0.08223684210526316
G	3.8202247191011236	3.536184210526316
G H	0.11235955056179775	0.0
G H R	0.11235955056179775	0.0
GH	0.0	0.08223684210526316
GK	0.0	0.24671052631578946
GM	0.0	0.32894736842105265
H	3.8202247191011236	2.3848684210526314
H P	0.11235955056179775	0.0
H R	0.449438202247191	0.0
I	3.8202247191011236	2.2203947368421053
I Q	0.11235955056179775	0.0
I R	0.11235955056179775	0.0
IM	0.0	0.08223684210526316
IQ	0.0	0.41118421052631576
J	18.314606741573034	12.5
J A	0.2247191011235955	0.0
J E	0.11235955056179775	0.0
J F	0.11235955056179775	0.0
J H	0.2247191011235955	0.0
J K	0.11235955056179775	0.0
J K L	0.11235955056179775	0.0
J L	0.11235955056179775	0.0
J O	0.2247191011235955	0.0
J R	0.11235955056179775	0.0
J T	0.11235955056179775	0.0
J V	0.11235955056179775	0.0
JKL	0.0	0.08223684210526316
K	4.719101123595506	6.8256578947368425
K E	0.11235955056179775	0.0
K G	0.11235955056179775	0.0
K L	0.11235955056179775	0.0
K O	0.11235955056179775	0.0
K T	0.449438202247191	0.0
K T N	0.11235955056179775	0.0
K V	0.11235955056179775	0.0
KL	0.0	0.08223684210526316
KLT	0.0	0.08223684210526316
KT	0.0	0.16447368421052633
KV	0.0	0.08223684210526316
L	7.52808988764045	6.8256578947368425
L D	0.11235955056179775	0.0
L X	0.11235955056179775	0.0
LU	0.0	0.08223684210526316
LV	0.0	0.08223684210526316
M	5.730337078651686	6.0855263157894735
M E	0.11235955056179775	0.0
M F	0.11235955056179775	0.0
M G	0.11235955056179775	0.0
M H	0.11235955056179775	0.0
M I	0.11235955056179775	0.0
M N	0.11235955056179775	0.0
M O	0.11235955056179775	0.0
M R	0.11235955056179775	0.0
M U	0.11235955056179775	0.0
MU	0.0	0.08223684210526316
N	0.2247191011235955	0.16447368421052633
N U	0.33707865168539325	0.0
NOT	0.0	0.08223684210526316
NOU	0.0	0.08223684210526316
NT	0.0	0.08223684210526316
NU	0.0	0.4934210526315789
O	4.044943820224719	2.713815789473684
P	3.4831460674157304	3.700657894736842
P R	0.11235955056179775	0.0
Q	1.0112359550561798	0.5756578947368421
QT	0.0	0.08223684210526316
R	5.617977528089888	0.0
S	4.831460674157303	18.174342105263158
T	2.5842696629213484	1.1513157894736843
T E	0.11235955056179775	0.0
T F	0.2247191011235955	0.0
T G	0.11235955056179775	0.0
T P	0.11235955056179775	0.0
T R	0.11235955056179775	0.0
U	1.5730337078651686	2.713815789473684
V	1.4606741573033708	1.644736842105263
V F	0.2247191011235955	0.0
V I	0.11235955056179775	0.0
V M	0.11235955056179775	0.0
V P	0.11235955056179775	0.0
V T	0.11235955056179775	0.0
W	0.11235955056179775	0.0
W U	0.11235955056179775	0.0
X	0.6741573033707865	0.0
